CR45932	FBgn0267594
CR42418	FBgn0259849
CR40530	FBgn0085494
CG40635	FBgn0085506
CR42439	FBgn0259870
CG42398	FBgn0259817
CR40719	FBgn0085511
CR42433	FBgn0259864
CR42406	FBgn0259837
CG41561	FBgn0085692
CR45933	FBgn0267595
CR40947	FBgn0085540
CR42411	FBgn0259842
CR42408	FBgn0259839
CR42409	FBgn0259840
CR45934	FBgn0267596
CR11023	FBgn0031208
CG2671	FBgn0002121
CG2657	FBgn0031209
CR43609	FBgn0263584
CG31973	FBgn0051973
CR46254	FBgn0267987
CR45339	FBgn0266878
CR45340	FBgn0266879
CG11371	FBgn0067779
CR44987	FBgn0266322
CG11372	FBgn0031213
CG11374	FBgn0031214
CG11450	FBgn0002931
CG11376	FBgn0031216
CG11377	FBgn0031217
CG12178	FBgn0026787
CG2674	FBgn0005278
CG11455	FBgn0031228
CG13694	FBgn0031219
CG4822	FBgn0031220
CG3164	FBgn0288229
CR44969	FBgn0266304
CG2718	FBgn0001142
CR44185	FBgn0265074
CR44186	FBgn0265075
CG31975	FBgn0051975
CG31976	FBgn0051976
CG31974	FBgn0051974
CG11454	FBgn0031224
CG42399	FBgn0259818
CG3709	FBgn0031227
CG3436	FBgn0031229
CG33635	FBgn0053635
CG18497	FBgn0016977
CG11488	FBgn0031231
CG11617	FBgn0031232
CG11490	FBgn0031233
CG3696	FBgn0266557
CR44220	FBgn0265151
CR44222	FBgn0265153
CR44221	FBgn0265152
CR43580	FBgn0263465
CG13693	FBgn0031235
CR42959	FBgn0262252
CR44218	FBgn0265149
CG11606	FBgn0283652
CG3645	FBgn0031238
CG17075	FBgn0031239
CR44219	FBgn0265150
CG3345	FBgn0031240
CG11604	FBgn0086912
CG11555	FBgn0086856
CG17078	FBgn0086855
CG11561	FBgn0003444
CG11601	FBgn0031244
CG3625	FBgn0031245
CR46262	FBgn0267995
CR46263	FBgn0267996
CG11592	FBgn0025686
CG11562	FBgn0031247
CG3582	FBgn0017457
CG2720	FBgn0024352
CG2699	FBgn0020622
CG4574	FBgn0004611
CR43719	FBgn0263872
CG11912	FBgn0031248
CG11911	FBgn0031249
CG33127	FBgn0053127
CG43755	FBgn0264086
CG31921	FBgn0051921
CG11907	FBgn0031250
CR45367	FBgn0266907
CR45366	FBgn0266906
CG3935	FBgn0000061
CR43718	FBgn0263871
CG4213	FBgn0031251
CG4033	FBgn0003278
CG4260	FBgn0264855
CG4063	FBgn0263933
CG13690	FBgn0031252
CG4087	FBgn0002593
CG11885	FBgn0031253
CG13692	FBgn0031254
CG13691	FBgn0031255
CG4114	FBgn0004583
CR43717	FBgn0263870
CG4280	FBgn0015924
CG4164	FBgn0031256
CR43080	FBgn0262510
CG4133	FBgn0031257
CG4297	FBgn0031258
CG4184	FBgn0027592
CG2762	FBgn0003963
CG4427	FBgn0043364
CR46258	FBgn0267991
CR46259	FBgn0267992
CG3018	FBgn0010602
CG11840	FBgn0031260
CG2914	FBgn0005660
CG11822	FBgn0031261
CG11838	FBgn0260933
CG2789	FBgn0031263
CG11835	FBgn0031264
CG2794	FBgn0031265
CG2863	FBgn0021874
CG2807	FBgn0031266
CG13688	FBgn0031267
CG2813	FBgn0031268
CG13687	FBgn0013323
CG2819	FBgn0023489
CG2851	FBgn0010323
CR46148	FBgn0267827
CG13689	FBgn0031270
CR43648	FBgn0263657
CR43649	FBgn0263658
CG13686	FBgn0040106
CR44797	FBgn0266032
CR44798	FBgn0266033
CG2826	FBgn0040107
CG2839	FBgn0031273
CR45369	FBgn0266909
CG17941	FBgn0284247
CR44988	FBgn0266323
CR46260	FBgn0267993
CG2830	FBgn0011244
CG3159	FBgn0026438
CG3022	FBgn0031275
CR44614	FBgn0265825
CG12506	FBgn0031276
CG13946	FBgn0040725
CG13947	FBgn0031277
CG13948	FBgn0041250
CG3544	FBgn0031279
CG3324	FBgn0000442
CR45259	FBgn0266797
CG31658	FBgn0051658
CG3561	FBgn0086130
CG3883	FBgn0031281
CG3639	FBgn0031282
CG15880	FBgn0031283
CG3876	FBgn0031284
CG3642	FBgn0015621
CG3662	FBgn0031285
CG3862	FBgn0031286
CG3727	FBgn0010583
CG3365	FBgn0020304
CR44060	FBgn0264869
CG4291	FBgn0031287
CG3943	FBgn0020545
CG13949	FBgn0031288
CR45345	FBgn0266884
CR42884	FBgn0262177
CG13950	FBgn0031289
CG4276	FBgn0029095
CG4258	FBgn0020305
CG33526	FBgn0053526
CG15824	FBgn0031292
CG3966	FBgn0002936
CR45348	FBgn0266887
CG4178	FBgn0002563
CR31656	FBgn0003916
CR46377	FBgn0286735
CR45261	FBgn0266799
CR44061	FBgn0264870
CG4226	FBgn0046113
CG4341	FBgn0028481
CR44801	FBgn0266036
CG31795	FBgn0031294
CR46486	FBgn0287617
CG4375	FBgn0031295
CG4415	FBgn0031296
CG4385	FBgn0003310
CG4426	FBgn0015905
CG4428	FBgn0031298
CG4629	FBgn0031299
CG4644	FBgn0261938
CG14339	FBgn0031301
CG14340	FBgn0031302
CG4710	FBgn0016926
CG4552	FBgn0031304
CG4715	FBgn0031305
CG4577	FBgn0031306
CR45717	FBgn0267281
CG4726	FBgn0031307
CG4749	FBgn0283525
CG5041	FBgn0031309
CG4764	FBgn0031310
CG33979	FBgn0261458
CR43767	FBgn0264267
CG4775	FBgn0031312
CG5080	FBgn0031313
CG4785	FBgn0031314
CG14341	FBgn0031315
CG5105	FBgn0024314
CG31922	FBgn0051922
CG5118	FBgn0031317
CG4887	FBgn0031318
CG4896	FBgn0031319
CG5126	FBgn0031320
CG4947	FBgn0031321
CG5001	FBgn0031322
CG5139	FBgn0031323
CG43348	FBgn0263080
CG43349	FBgn0263081
CG5011	FBgn0040723
CG14342	FBgn0031324
CR45346	FBgn0266885
CR43263	FBgn0262944
CG42329	FBgn0259229
CG5397	FBgn0031327
CG5423	FBgn0041097
CG5430	FBgn0011294
CG5440	FBgn0031331
CG33923	FBgn0053923
CG33922	FBgn0053922
CG5450	FBgn0026141
CR45005	FBgn0266357
CR45006	FBgn0266358
CG5556	FBgn0031332
CG5561	FBgn0031333
CG31924	FBgn0051924
CG5565	FBgn0031335
CG31659	FBgn0051659
CG33126	FBgn0053126
CG14346	FBgn0031337
CR44898	FBgn0266203
CG5481	FBgn0002543
CR44897	FBgn0266202
CG43401	FBgn0263320
CG43402	FBgn0263321
CG31928	FBgn0051928
CG33128	FBgn0053128
CG31926	FBgn0051926
CG31661	FBgn0051661
CG18131	FBgn0031343
CG7420	FBgn0031344
CR44064	FBgn0264873
CG18132	FBgn0031345
CG7428	FBgn0001174
CG12193	FBgn0026398
CG4231	FBgn0026397
CG14351	FBgn0261509
CG10869	FBgn0031347
CG31935	FBgn0051935
CG14352	FBgn0031351
CG7361	FBgn0021906
CR44603	FBgn0265814
CR45695	FBgn0267259
CG31666	FBgn0086758
CG17158	FBgn0011570
CG17660	FBgn0031356
CR44976	FBgn0266311
CG17642	FBgn0031357
CG17657	FBgn0086698
CG18317	FBgn0031359
CG17654	FBgn0000579
CG31938	FBgn0260648
CG31937	FBgn0031360
CG17652	FBgn0031361
CG17646	FBgn0264494
CG17712	FBgn0027597
CG17648	FBgn0031364
CG31932	FBgn0041249
CG17650	FBgn0031365
CG31936	FBgn0045497
CG31930	FBgn0045498
CG31929	FBgn0265138
CG31931	FBgn0045500
CG31662	FBgn0045501
CG31933	FBgn0051933
CG31664	FBgn0051664
CG15623	FBgn0031367
CR42982	FBgn0262275
CG31665	FBgn0051665
CR44073	FBgn0264882
CR44074	FBgn0264883
CG31663	FBgn0051663
CG7295	FBgn0031372
CR44075	FBgn0264884
CG15358	FBgn0031373
CG7337	FBgn0031374
CR31667	FBgn0011859
CG15357	FBgn0040719
CG33673	FBgn0053673
CG31670	FBgn0031375
CR31942	FBgn0051942
CG10908	FBgn0267972
CG15356	FBgn0031377
CG15362	FBgn0031378
CG7289	FBgn0031379
CG4233	FBgn0001125
CG7291	FBgn0031381
CR42874	FBgn0262148
CG31941	FBgn0043539
CG33543	FBgn0053543
CR43464	FBgn0263441
CG15353	FBgn0040718
CR45712	FBgn0267276
CG15361	FBgn0040717
CR31943	FBgn0051943
CR31944	FBgn0051944
CG4238	FBgn0031384
CR31939	FBgn0051939
CR31940	FBgn0051940
CR31669	FBgn0051669
CR46374	FBgn0286732
CR31945	FBgn0011860
CG42296	FBgn0259192
CG42295	FBgn0259230
CG4244	FBgn0003557
CR45298	FBgn0266836
CG31672	FBgn0028952
CG15377	FBgn0026396
CG33516	FBgn0053516
CG12674	FBgn0031388
CR44808	FBgn0266043
CR44055	FBgn0264864
CG4259	FBgn0031389
CG7254	FBgn0004507
CG31671	FBgn0031390
CG11723	FBgn0031391
CG7261	FBgn0027509
CG7263	FBgn0031392
CG15382	FBgn0031393
CG3166	FBgn0000097
CR43751	FBgn0265017
CR44066	FBgn0264875
CR31946	FBgn0051946
CR45290	FBgn0266828
CG10874	FBgn0031395
CR44065	FBgn0264874
CG34172	FBgn0085201
CG31668	FBgn0051668
CG33124	FBgn0053124
CG15385	FBgn0031397
CG4265	FBgn0010288
CG34174	FBgn0085203
CG10880	FBgn0031398
CG15386	FBgn0040715
CG42371	FBgn0259717
CG7074	FBgn0031399
CG7082	FBgn0031401
CG15387	FBgn0031403
CG7085	FBgn0267378
CR44114	FBgn0264945
CG10882	FBgn0262126
CR44115	FBgn0264946
CG31679	FBgn0051679
CG32463	FBgn0052463
CG31682	FBgn0051682
CG4267	FBgn0264979
CR42859	FBgn0262106
CG17240	FBgn0011832
CG17239	FBgn0042186
CG17234	FBgn0042187
CG17012	FBgn0031406
CR44787	FBgn0266022
CR44788	FBgn0266023
CG4270	FBgn0031407
CG34049	FBgn0054049
CG17242	FBgn0250841
CR43753	FBgn0264084
CR43754	FBgn0264085
CG4271	FBgn0031409
CG31681	FBgn0051681
CG42658	FBgn0261523
CG17237	FBgn0031410
CG10838	FBgn0028570
CG31949	FBgn0051949
CG16995	FBgn0031412
CG9967	FBgn0031413
CG33955	FBgn0031414
CG3664	FBgn0014010
CG4272	FBgn0261647
CG3597	FBgn0031417
CG3609	FBgn0031418
CG15390	FBgn0031419
CR44982	FBgn0266317
CG9866	FBgn0031420
CG9867	FBgn0264672
CG9870	FBgn0031422
CG3557	FBgn0031423
CG43750	FBgn0264081
CG46448	FBgn0287218
CG9887	FBgn0031424
CG18641	FBgn0031426
CG31948	FBgn0051948
CG34448	FBgn0085477
CG34447	FBgn0085476
CG9886	FBgn0031428
CG44139	FBgn0264988
CR44912	FBgn0266217
CG9885	FBgn0000490
CR31986	FBgn0012017
CR31987	FBgn0012016
CR45286	FBgn0266824
CG3539	FBgn0264978
CG9884	FBgn0011818
CR44607	FBgn0265818
CG3528	FBgn0031430
CR46069	FBgn0267738
CR44112	FBgn0264943
CG3515	FBgn0031431
CR44113	FBgn0264944
CG9964	FBgn0031432
CG18559	FBgn0041337
CG3240	FBgn0026778
CG34314	FBgn0085343
CG3227	FBgn0031434
CG9883	FBgn0031435
CG3214	FBgn0031436
CG9881	FBgn0031437
CG3210	FBgn0026479
CG15394	FBgn0250835
CR44790	FBgn0266025
CR44789	FBgn0266024
CG15395	FBgn0031440
CG43403	FBgn0263322
CR45705	FBgn0267269
CR46328	FBgn0284414
CR46327	FBgn0284413
CR43852	FBgn0264434
CG9962	FBgn0031441
CG43851	FBgn0264433
CG33125	FBgn0053125
CG17301	FBgn0031442
CG9880	FBgn0026395
CG17302	FBgn0031443
CG9879	FBgn0031444
CR46404	FBgn0286882
CG15396	FBgn0041248
CG31690	FBgn0051690
CG15398	FBgn0031446
CG31689	FBgn0031449
CR43549	FBgn0263564
CG2903	FBgn0031450
CG9961	FBgn0031451
CG2843	FBgn0031452
CG3127	FBgn0250906
CG9894	FBgn0031453
CR44772	FBgn0265997
CG9960	FBgn0031454
CG9958	FBgn0031455
CG2848	FBgn0031456
CG3077	FBgn0031457
CG2855	FBgn0031458
CG3069	FBgn0026324
CG2859	FBgn0028398
CG3057	FBgn0019830
CG2862	FBgn0031459
CG15399	FBgn0031460
CG3139	FBgn0004242
CR43821	FBgn0264369
CG16987	FBgn0031461
CG2964	FBgn0031462
CG15400	FBgn0031463
CG3131	FBgn0283531
CG3123	FBgn0031465
CG3119	FBgn0031466
CG2973	FBgn0031467
CR45342	FBgn0266881
CG2975	FBgn0031468
CG18558	FBgn0031469
CG18557	FBgn0031470
CG3117	FBgn0031471
CG2983	FBgn0031472
CG3104	FBgn0031473
CG2986	FBgn0015521
CG2991	FBgn0031474
CG31694	FBgn0051694
CG8813	FBgn0031476
CG8814	FBgn0031478
CG3083	FBgn0031479
CG31950	FBgn0051950
CG18627	FBgn0028970
CG3059	FBgn0024947
CG8817	FBgn0041111
CG3151	FBgn0010263
CG3181	FBgn0024920
CG3178	FBgn0004584
CG3157	FBgn0260639
CG9641	FBgn0031483
CG3165	FBgn0031484
CG9643	FBgn0031485
CG3733	FBgn0250786
CG18642	FBgn0025109
CG3736	FBgn0002989
CG3558	FBgn0025681
CG17265	FBgn0031488
CG17224	FBgn0031489
CG17264	FBgn0031490
CG17223	FBgn0031491
CG3542	FBgn0031492
CG3605	FBgn0031493
CG17219	FBgn0031494
CR44147	FBgn0264996
CG17257	FBgn0031495
CG17258	FBgn0031496
CG17259	FBgn0031497
CG17260	FBgn0031498
CG17262	FBgn0243513
CG17221	FBgn0031500
CG17261	FBgn0031501
CG3524	FBgn0042627
CR43708	FBgn0263847
CR32999	FBgn0003934
CG3523	FBgn0283427
CG9660	FBgn0015600
CG8822	FBgn0005779
CG15403	FBgn0031504
CG12400	FBgn0031505
CG12399	FBgn0011648
CG8825	FBgn0260817
CR31953	FBgn0051953
CG3488	FBgn0014906
CR31734	FBgn0011985
CG44002	FBgn0264744
CR44003	FBgn0264745
CR31951	FBgn0011984
CG31698	FBgn0051698
CG15404	FBgn0031512
CG34393	FBgn0085422
CR45336	FBgn0266875
CR45337	FBgn0266876
CR45338	FBgn0266877
CR45706	FBgn0267270
CR44484	FBgn0265677
CG3347	FBgn0031513
CG3332	FBgn0031514
CR44485	FBgn0265678
CG9664	FBgn0031515
CG9663	FBgn0031516
CG3277	FBgn0031518
CG15406	FBgn0031517
CG3326	FBgn0031519
CG8837	FBgn0031520
CG33281	FBgn0053281
CG33282	FBgn0053282
CG3285	FBgn0031522
CG15408	FBgn0031523
CG3327	FBgn0020445
CG8838	FBgn0031526
CG34394	FBgn0085423
CG15412	FBgn0031528
CG9662	FBgn0031529
CG3289	FBgn0016698
CR45301	FBgn0266839
CG42459	FBgn0259949
CG42460	FBgn0259950
CR44791	FBgn0266026
CR44792	FBgn0266027
CG34175	FBgn0085204
CG3254	FBgn0031530
CG8840	FBgn0031531
CG31952	FBgn0051952
CG2772	FBgn0031533
CG2774	FBgn0031534
CG12795	FBgn0031535
CG3248	FBgn0031536
CG8843	FBgn0266670
CG3246	FBgn0031538
CG3241	FBgn0005616
CR43511	FBgn0263526
CG8844	FBgn0021967
CG3238	FBgn0031540
CG31776	FBgn0051776
CG31956	FBgn0051956
CR45372	FBgn0266912
CR43928	FBgn0264549
CG8846	FBgn0261560
CG15414	FBgn0031542
CG3234	FBgn0014396
CR46495	FBgn0287668
CR46379	FBgn0286737
CR45299	FBgn0266837
CG31954	FBgn0051954
CR45300	FBgn0266838
CG33123	FBgn0284253
CG17593	FBgn0031544
CG3213	FBgn0031545
CG8851	FBgn0031546
CG3212	FBgn0031547
CG8852	FBgn0031548
CG15415	FBgn0031549
CG8853	FBgn0031550
CR44308	FBgn0265367
CG10016	FBgn0024244
CR44309	FBgn0265368
CR44747	FBgn0265960
CR43822	FBgn0264370
CG43815	FBgn0264363
CG3242	FBgn0004892
CR46324	FBgn0284410
CR43823	FBgn0264371
CG3851	FBgn0002985
CR44310	FBgn0265369
CG2788	FBgn0015663
CG15418	FBgn0031554
CG10033	FBgn0000721
CR43508	FBgn0263523
CG34340	FBgn0085369
CG42461	FBgn0259951
CG42463	FBgn0259953
CG42462	FBgn0259952
CG42602	FBgn0261054
CG16704	FBgn0031558
CG3513	FBgn0031559
CG31779	FBgn0051779
CR43364	FBgn0263096
CG43165	FBgn0262721
CG16713	FBgn0031560
CG16712	FBgn0031561
CG3604	FBgn0031562
CG10031	FBgn0031563
CG42464	FBgn0259954
CG42465	FBgn0259955
CG42466	FBgn0259956
CG42467	FBgn0259957
CG43145	FBgn0262621
CR44311	FBgn0265370
CG2816	FBgn0031564
CG31778	FBgn0051778
CG31777	FBgn0051777
CG33122	FBgn0015376
CG31955	FBgn0051955
CG2818	FBgn0031566
CG3410	FBgn0040104
CG2822	FBgn0003386
CG10019	FBgn0031568
CG43707	FBgn0263846
CG43703	FBgn0263842
CR42926	FBgn0262392
CR43704	FBgn0263843
CG10021	FBgn0004893
CG31960	FBgn0051960
CR31958	FBgn0051958
CG3921	FBgn0031571
CG3920	FBgn0021800
CG3407	FBgn0031573
CR44076	FBgn0264885
CR44077	FBgn0264886
CG16738	FBgn0003430
CG2939	FBgn0004567
CR44983	FBgn0266318
CR45451	FBgn0267007
CR45449	FBgn0267005
CR45450	FBgn0267006
CR44078	FBgn0264887
CG3964	FBgn0031574
CG3980	FBgn0031575
CG31957	FBgn0051957
CG3399	FBgn0000256
CG31774	FBgn0051774
CG31773	FBgn0051773
CG43797	FBgn0264341
CR45344	FBgn0266883
CG34176	FBgn0085205
CG15422	FBgn0031579
CG15423	FBgn0031580
CG43773	FBgn0264295
CG43774	FBgn0264296
CG12676	FBgn0000547
CR44984	FBgn0266319
CG31962	FBgn0020376
CG4099	FBgn0014033
CG2955	FBgn0031585
CG11767	FBgn0026394
CR45791	FBgn0267441
CR44057	FBgn0264866
CG31961	FBgn0051961
CG2958	FBgn0040102
CG3714	FBgn0031589
CG3352	FBgn0001075
CG3702	FBgn0031590
CG2960	FBgn0003941
CR44608	FBgn0265819
CR45720	FBgn0267284
CR44058	FBgn0264867
CR44059	FBgn0264868
CR45294	FBgn0266832
CR45295	FBgn0266833
CR45296	FBgn0266834
CG15425	FBgn0265269
CR44080	FBgn0264889
CG3675	FBgn0031592
CG15427	FBgn0010473
CG16857	FBgn0028482
CG2969	FBgn0020762
CR42895	FBgn0262375
CR44697	FBgn0265908
CR44698	FBgn0265909
CR44699	FBgn0265910
CR44700	FBgn0265911
CG15429	FBgn0031596
CR45363	FBgn0266903
CG3048	FBgn0026319
CG17612	FBgn0031597
CG3338	FBgn0031598
CG18013	FBgn0261976
CG4104	FBgn0027560
CG3652	FBgn0031600
CG3054	FBgn0022153
CG33003	FBgn0053003
CG3058	FBgn0031601
CG15431	FBgn0031602
CG43055	FBgn0262357
CR31963	FBgn0051963
CG34177	FBgn0085206
CG34178	FBgn0085207
CG43056	FBgn0262358
CG42468	FBgn0259958
CG15432	FBgn0031603
CG15437	FBgn0027609
CG15433	FBgn0031604
CG15438	FBgn0025684
CG15439	FBgn0031606
CG15440	FBgn0031607
CG15434	FBgn0040705
CG15441	FBgn0019982
CG15442	FBgn0285948
CR33674	FBgn0065053
CG33002	FBgn0053002
CG15435	FBgn0031608
CG15443	FBgn0031609
CG15436	FBgn0031610
CG17840	FBgn0031611
CG15444	FBgn0011603
CG33196	FBgn0053196
CG15636	FBgn0031613
CR43716	FBgn0263869
CR44609	FBgn0265820
CR45452	FBgn0267008
CG34102	FBgn0083938
CG15635	FBgn0031617
CG43798	FBgn0264342
CG3355	FBgn0031619
CR46329	FBgn0284415
