FBgn0000008	Q9W283
FBgn0000014	P29555
FBgn0000015	P09087
FBgn0000017	P00522
FBgn0000018	Q9VKM4
FBgn0000022	P10083
FBgn0000024	P07140
FBgn0000028	P24350
FBgn0000032	Q8I0P9
FBgn0000036	P09478
FBgn0000037	P16395
FBgn0000038	P04755
FBgn0000039	P17644
FBgn0000042	P10987
FBgn0000043	P02572
FBgn0000044	P53501
FBgn0000045	P02574
FBgn0000046	P10981
FBgn0000047	P83967
FBgn0000052	P35421
FBgn0000053	P00967
FBgn0000055	P00334
FBgn0000056	P91615
FBgn0000057	Q7K7W5
FBgn0000061	Q06453
FBgn0000063	A0A0B4KG66
FBgn0000064	P07764
FBgn0000071	P15364
FBgn0000075	P18486
FBgn0000077	Q9U4H5
FBgn0000078	P81641
FBgn0000079	P08144
FBgn0000083	P22464
FBgn0000084	P22465
FBgn0000092	O76879
FBgn0000094	P21663
FBgn0000097	Q01842
FBgn0000100	P19889
FBgn0000108	P14599
FBgn0000109	P12426
FBgn0000114	Q8IP90
FBgn0000115	P25160
FBgn0000116	P48610
FBgn0000117	P18824
FBgn0000119	A1Z9D7
FBgn0000120	P15372
FBgn0000121	P19107
FBgn0000137	P09775
FBgn0000139	Q94545
FBgn0000140	Q9VC45
FBgn0000146	O76922
FBgn0000147	Q9VGF9
FBgn0000150	P08879
FBgn0000152	O97132
FBgn0000153	Q24062
FBgn0000157	P20009
FBgn0000158	P22745
FBgn0000163	Q0KHR3
FBgn0000166	P09081
FBgn0000173	P35128
FBgn0000179	Q24432
FBgn0000180	P23645
FBgn0000181	Q7KM15
FBgn0000182	Q24009
FBgn0000183	P16568
FBgn0000206	P22815
FBgn0000212	P25439
FBgn0000216	O16528
FBgn0000221	Q24157
FBgn0000227	Q9VR17
FBgn0000228	P11929
FBgn0000229	P92208
FBgn0000233	Q24266
FBgn0000239	Q9VIE7
FBgn0000241	P12428
FBgn0000244	Q9VHC3
FBgn0000246	Q9VF37
FBgn0000247	Q9VAG5
FBgn0000250	Q03017
FBgn0000251	P09085
FBgn0000253	P62152
FBgn0000256	Q24120
FBgn0000257	Q9Y1I2
FBgn0000259	P08182
FBgn0000261	P17336
FBgn0000273	P12370
FBgn0000274	P16911
FBgn0000276	C0HKQ7
FBgn0000277	C0HKQ7
FBgn0000278	P14956
FBgn0000279	O16829
FBgn0000283	Q24478
FBgn0000286	P20385
FBgn0000287	Q9VKH3
FBgn0000289	A8DYD1
FBgn0000299	P08120
FBgn0000303	P07668
FBgn0000307	Q9NK54
FBgn0000308	P25843
FBgn0000316	P39205
FBgn0000317	Q9V3Z6
FBgn0000318	Q9VMQ9
FBgn0000319	P29742
FBgn0000320	Q05201
FBgn0000326	Q9W2F4
FBgn0000330	O76928
FBgn0000337	A1Z746
FBgn0000339	P49858
FBgn0000346	P46461
FBgn0000351	Q960N3
FBgn0000352	O16844
FBgn0000355	P07185
FBgn0000356	P22977
FBgn0000357	P07184
FBgn0000358	P07186
FBgn0000359	P07182
FBgn0000360	P07183
FBgn0000370	Q9VID3
FBgn0000376	O76906
FBgn0000377	P17886
FBgn0000382	P29349
FBgn0000384	P25157
FBgn0000392	Q9VMA3
FBgn0000394	Q9W494
FBgn0000395	Q9W2H2
FBgn0000404	P14785
FBgn0000405	P20439
FBgn0000406	P19967
FBgn0000411	Q24533
FBgn0000412	P22058
FBgn0000414	P98081
FBgn0000416	Q9Y125
FBgn0000422	P05031
FBgn0000426	Q24297
FBgn0000427	P18171
FBgn0000439	P07548
FBgn0000442	Q03042
FBgn0000447	P32748
FBgn0000448	P31396
FBgn0000449	Q9NGX9
FBgn0000451	X2JAX9
FBgn0000454	Q9VFQ9
FBgn0000455	Q9VG79
FBgn0000459	P23792
FBgn0000463	P10041
FBgn0000464	P16621
FBgn0000477	Q9VED8
FBgn0000479	Q9W4T4
FBgn0000482	Q24314
FBgn0000489	P16912
FBgn0000490	P07713
FBgn0000492	Q03372
FBgn0000499	P51140
FBgn0000500	P09040
FBgn0000504	P23023
FBgn0000520	Q9W4V9
FBgn0000524	Q23985
FBgn0000527	Q9VDC6
FBgn0000529	Q04787
FBgn0000533	P13582
FBgn0000535	Q02280
FBgn0000536	P54352
FBgn0000541	Q9W0T1
FBgn0000542	Q1W9P9
FBgn0000543	Q9W032
FBgn0000546	P34021
FBgn0000547	Q9VQW7
FBgn0000551	P27779
FBgn0000552	P27780
FBgn0000557	P05303
FBgn0000559	P13060
FBgn0000560	P15370
FBgn0000562	Q9W1K4
FBgn0000564	Q07892
FBgn0000565	P08761
FBgn0000566	Q7JXZ2
FBgn0000567	P11536
FBgn0000568	P13055
FBgn0000575	P18491
FBgn0000576	P18488
FBgn0000577	P02836
FBgn0000578	Q8T4F7
FBgn0000579	P15007
FBgn0000581	A0A0B4KFP2
FBgn0000588	Q24338
FBgn0000591	P13098
FBgn0000592	P08171
FBgn0000594	P18167
FBgn0000606	P06602
FBgn0000611	P40427
FBgn0000615	P28750
FBgn0000617	Q27272
FBgn0000618	Q9VYX1
FBgn0000625	Q9VTX7
FBgn0000629	P42124
FBgn0000633	A1Z9G5
FBgn0000635	P34082
FBgn0000636	P15278
FBgn0000639	Q04691
FBgn0000640	P54398
FBgn0000644	P11450
